"Disposition","Location","per_loc"
SICK OR INJURED PERS,YMCA,1
WARRANT PICKUP,XSTREETS RAINBOW/WINDMILL,1
WANTED PERSON,XPORT X5,1
TRANSPORT,X5,1
WANTED PERSON,X4D5 X1D20,1
TRANSPORT,X4-1C X3-D6,1
TRANSPORT,X3TC X2D1 X3D6 X1D3,1
TRANSPORT,X3D6 X1D2,1
TRANSPORT,X3D3,1
TRANSPORT,X3D20 X1D2 X3D3,1
TRANSPORT,X3-1C X2-D3,1
TRANSPORT,X3-1C,2
TRANSPORT,X3 HC X1 D4 X1 D3 X1 D6,1
WANTED PERSON,X3 DEPT 3,1
TRANSPORT,X3 D6  D3-X1,1
TRANSPORT,X3 1C  X1 D1 X1 D6,1
TRANSPORT,X2TC,1
TRANSPORT,X2HC,1
TRANSPORT,X2D6 X1D1,1
TRANSPORT,X2D5 X1D4 X2TC X2D3,1
TRANSPORT,X2D5 X1D2,1
TRANSPORT,X2D4 X1D6,1
TRANSPORT,X2D3 X2D5 X1D6 X1D4,1
TRANSPORT,X2D3 X1D6 X1D2 X11C X1D5,1
TRANSPORT,X2D2 X1D3 X1D6 X1TC X1HC,1
TRANSPORT,X2D2 X1-1C X2TC,1
TRANSPORT,X2D1,1
TRANSPORT,X21C  X1D3 X2D6,1
TRANSPORT,X2-WW X1-D3 X1-D5,1
TRANSPORT,X2-TC,3
TRANSPORT,X2-D6 X1-D4,1
TRANSPORT,X2-D5,1
TRANSPORT,X2-1C X1D3 X1D1,1
TRANSPORT,X2-1C X1-D6 X2-D4 X2-TC X1-D1,1
TRANSPORT,X2-1C X1-D5,1
TRANSPORT,X2-1C,2
WANTED PERSON,X2 TC,1
TRANSPORT,X2 D5X1 TC X1 1C X1 D3,1
TRANSPORT,X2 1C,1
TRANSPORT,X1TC X1D20,1
TRANSPORT,X1TC 1DEPT2 1DEPT3,1
TRANSPORT,X1TC  D2-X1 X1-1C,1
TRANSPORT,X1TC,19
WANTED PERSON,X1TC,4
TRANSPORT,X1HOLDING X1D5,1
DETENTION - INCIDENT,X1F,1
TRANSPORT,X1D6 X1D5 X11C,1
WANTED PERSON,X1D5 X1TC,1
TRANSPORT,X1D5 X1D1 D3X2,1
TRANSPORT,X1D5 X1-1C,1
TRANSPORT,X1D5  X1D1,1
TRANSPORT,X1D5,3
TRANSPORT,X1D4 X21C D5X1,1
TRANSPORT,X1D4 X1D3,2
TRANSPORT,X1D4 X1D1,1
WANTED PERSON,X1D4 X1 1C,1
TRANSPORT,X1D4 1CX1,1
TRANSPORT,X1D3 X3TC,1
TRANSPORT,X1D3 X1D5 X3D6,1
TRANSPORT,X1D3 X1D5 X1D6 X2D20,1
TRANSPORT,X1D3 X1D4 X1D6 X1D20,1
TRANSPORT,X1D3  X1WW,1
TRANSPORT,X1D3,6
WANTED PERSON,X1D3,1
TRANSPORT,X1D20 X2D3,1
TRANSPORT,X1D20 X1D2,1
TRANSPORT,X1D2 X1D6,1
WANTED PERSON,X1D2 X1D5,1
TRANSPORT,X1D2 X1D4  X1-D5,1
WANTED PERSON,X1D2 X1-1C,1
TRANSPORT,X1D2 TCX2 HCX1 D3X1,1
TRANSPORT,X1D2  X1D3  TC-X1   D4-X1,1
TRANSPORT,X1D2,1
TRANSPORT,X1D1 X2D5 X1D6,1
OUT OF VEHICLE,X1D1 X1D6,1
WANTED PERSON,X1D1 X1D4 X1D5 X1D6 X2-1C,1
TRANSPORT,X1D1 X1D4  X1D6,1
TRANSPORT,X1D1 X1D3 X1TC X1D6,1
WANTED PERSON,X1D1  X1D4,1
TRANSPORT,X1D1,3
WANTED PERSON,X15B X1FRT CTR,1
TRANSPORT,X11C  X1TC X1D3 X1D4,1
WANTED PERSON,X11C,1
TRANSPORT,X1-TC,2
WANTED PERSON,X1-TC,2
TRANSPORT,X1-HOLDING CELL,1
TRANSPORT,X1-D5 X1 HOLDING CELL 1C,1
TRANSPORT,X1-D5,1
TRANSPORT,X1-D4 X1-D5 X1-TC,1
TRANSPORT,X1-D3 D2X1,1
TRANSPORT,X1-D3,1
TRANSPORT,X1-D2 X1-D3,1
TRANSPORT,X1-D2  X2-D5  X1-TC  D3-X1,1
TRANSPORT,X1-D2,2
TRANSPORT,X1-D1 X1F-D5,1
TRANSPORT,X1-D1 X1-D3 X1-D4 X1-D5,1
TRANSPORT,X1-D1 X1-D2  X1-D3,1
TRANSPORT,X1-D1,1
TRANSPORT,X1-1C X3-D6 X1-D1 X1-TC X1-D4,1
WANTED PERSON,X1-1C X2TC X1D3,1
TRANSPORT,X1-1C X1D5 X1D20,1
TRANSPORT,X1-1C X1D3 X1D4,1
TRANSPORT,X1-1C X1D2,1
TRANSPORT,X1-1C X1-D5,1
TRANSPORT,X1-1C X1-D4 X1-D6 X1-D3,1
WANTED PERSON,X1-1C X1-D1,1
TRANSPORT,X1-1C WORKING ON PYMTS,1
TRANSPORT,X1-1C TCX1,1
TRANSPORT,X1-1C POSS XPORT,1
TRANSPORT,X1-1C D3X2? X1D6,1
TRANSPORT,X1-1C,11
WANTED PERSON,X1-1C,3
TRANSPORT,X1 TC,6
WANTED PERSON,X1 TC,2
WANTED PERSON,X1 T/C X1 D3,1
TRANSPORT,X1 JV RJC,1
TRANSPORT,X1 HC1 X1TC,1
TRANSPORT,X1 HC1,1
TRANSPORT,X1 DEPT3,1
WANTED PERSON,X1 DEPT 5,2
TRANSPORT,X1 DEPT 4X1 DEPT 5,1
WANTED PERSON,X1 DEPT 20,1
TRANSPORT,X1 D6,3
TRANSPORT,X1 D5,3
TRANSPORT,X1 D4  X1 TC,1
TRANSPORT,X1 D3 X1 1C,2
TRANSPORT,X1 D3,4
WANTED PERSON,X1 D3,1
TRANSPORT,X1 D20,2
TRANSPORT,X1 D2,1
TRANSPORT,X1 D1,2
WANTED PERSON,X1 5B,1
TRANSPORT,X1 1C X1 D3,1
TRANSPORT,X1 1C TCX1 D5 X1,1
TRANSPORT,X1 1C D3X1,1
TRANSPORT,X1 1C,9
WANTED PERSON,X1 1C,5
DETAIL,WYOMING AND WESTERN,1
OTHER DISTURBANCE,WYNN LAS VEGAS,1
WANTED PERSON,WYNN ES - PRINCIPLE OFFICE,1
ASSIST AN OFFICER,WYATT AVE&LEXINGTON ST,1
DETAIL,WYATT,1
ASSIST A CITIZEN,WY PARKS OPEN SPACE,5
BURGLARY,WY PARKS OPEN SPACE,2
BURGLARY ALARM,WY PARKS OPEN SPACE,30
DETAIL,WY PARKS OPEN SPACE,1
INVESTIGATION/FOLLOW,WY PARKS OPEN SPACE,8
MAINTENANCE,WY PARKS OPEN SPACE,4
MAL DEST PROPERTY,WY PARKS OPEN SPACE,1
MISC. ADMIN MATTER,WY PARKS OPEN SPACE,1
MISSING/FOUND PROPER,WY PARKS OPEN SPACE,6
NARCOTICS,WY PARKS OPEN SPACE,1
NON-CRIMINAL DETAIL,WY PARKS OPEN SPACE,11
OTHER DISTURBANCE,WY PARKS OPEN SPACE,1
PANIC ALARM,WY PARKS OPEN SPACE,1
STOLEN PROPERTY,WY PARKS OPEN SPACE,1
SUSPICIOUS PERSON,WY PARKS OPEN SPACE,2
SUSPICIOUS SITUATION,WY PARKS OPEN SPACE,1
SUSPICIOUS VEHICLE,WY PARKS OPEN SPACE,3
TRAFFIC PROBLEM,WY PARKS OPEN SPACE,1
WANTED PERSON,WY PARKS OPEN SPACE,1
TRANSPORT,WWX1,1
COURT,WW,2
MAL DEST PROPERTY,WPCF ADMIN BLDG (SOLAR PLANT),1
"911 DISC",WPCF ADMIN BLDG,4
AUTO BURGLARY,WPCF ADMIN BLDG,2
BAR/PERIMETER CHECK,WPCF ADMIN BLDG,1
BURGLARY,WPCF ADMIN BLDG,2
COMMUNITY CONTACT,WPCF ADMIN BLDG,1
DETAIL,WPCF ADMIN BLDG,1
DIRECTED PATROL ACTI,WPCF ADMIN BLDG,1
ILLEGAL VENDING,WPCF ADMIN BLDG,1
INVESTIGATION/FOLLOW,WPCF ADMIN BLDG,2
MAL DEST PROPERTY,WPCF ADMIN BLDG,5
NON-CRIMINAL DETAIL,WPCF ADMIN BLDG,1
OTHER DISTURBANCE,WPCF ADMIN BLDG,1
SEE PERSON FOR INFO,WPCF ADMIN BLDG,1
STOLEN PROPERTY,WPCF ADMIN BLDG,3
STOLEN VEHICLE,WPCF ADMIN BLDG,1
SUSPICIOUS PERSON,WPCF ADMIN BLDG,2
SUSPICIOUS SITUATION,WPCF ADMIN BLDG,1
SUSPICIOUS VEHICLE,WPCF ADMIN BLDG,1
UNKNOWN TROUBLE,WPCF ADMIN BLDG,3
SUSPICIOUS VEHICLE,WOOFTER PARK,1
ACCIDENT,WOOFTER FAMILY,1
ANIMAL COMPLAINT,WOOFTER FAMILY,4
ASSAULT/BATTERY,WOOFTER FAMILY,3
ASSIST A CITIZEN,WOOFTER FAMILY,1
ASSIST AN OFFICER,WOOFTER FAMILY,1
AUTO BURGLARY,WOOFTER FAMILY,2
CONDUCT BUSINESS W/O,WOOFTER FAMILY,1
DETAIL,WOOFTER FAMILY,1
DRUNK,WOOFTER FAMILY,1
FIGHT,WOOFTER FAMILY,3
FRAUD,WOOFTER FAMILY,1
INDECENT EXPOSURE,WOOFTER FAMILY,1
KIDNAP,WOOFTER FAMILY,1
LARCENY FROM A PERSO,WOOFTER FAMILY,1
MISSING/FOUND PROPER,WOOFTER FAMILY,1
NARCOTICS,WOOFTER FAMILY,9
NON-CRIMINAL DETAIL,WOOFTER FAMILY,5
OTHER DISTURBANCE,WOOFTER FAMILY,12
PARK RULES VIOL CLOS,WOOFTER FAMILY,19
PERSON ON FOOT,WOOFTER FAMILY,9
ROBBERY,WOOFTER FAMILY,1
SEE PERSON FOR INFO,WOOFTER FAMILY,2
SICK OR INJURED PERS,WOOFTER FAMILY,3
SUICIDE ATTEMPT,WOOFTER FAMILY,1
SUSPICIOUS PERSON,WOOFTER FAMILY,4
SUSPICIOUS SITUATION,WOOFTER FAMILY,5
SUSPICIOUS VEHICLE,WOOFTER FAMILY,47
TRAFFIC PROBLEM,WOOFTER FAMILY,3
TRAFFIC STOP,WOOFTER FAMILY,20
UNKNOWN TROUBLE,WOOFTER FAMILY,2
WANTED PERSON,WOOFTER FAMILY,4
PERSON ON FOOT,WOODLAWN/FOREMASTER,1
ACCIDENT,WOODLAWN CEMETERY,1
OTHER DISTURBANCE,WOODLAWN CEMETERY,1
SUSPICIOUS PERSON,WOODLAWN CEMETERY,1
ACCIDENT,WOODLAWN CEMETARY,1
ANIMAL COMPLAINT,WOODLAWN CEMETARY,1
ASSAULT/BATTERY,WOODLAWN CEMETARY,1
ASSAULT/BATTERY W/KN,WOODLAWN CEMETARY,1
BAR/PERIMETER CHECK,WOODLAWN CEMETARY,1
DETAIL,WOODLAWN CEMETARY,1
DRUNK,WOODLAWN CEMETARY,1
FIGHT,WOODLAWN CEMETARY,1
INVESTIGATION/FOLLOW,WOODLAWN CEMETARY,1
KEEP THE PEACE,WOODLAWN CEMETARY,1
LODGING W/O CONSENT,WOODLAWN CEMETARY,3
MAL DEST PROPERTY,WOODLAWN CEMETARY,1
MENTALLY ILL PERSON,WOODLAWN CEMETARY,1
NARCOTICS,WOODLAWN CEMETARY,1
NON-CRIMINAL DETAIL,WOODLAWN CEMETARY,1
OTHER DISTURBANCE,WOODLAWN CEMETARY,13
PARK RULES VIOL CLOS,WOODLAWN CEMETARY,1
PERSON ON FOOT,WOODLAWN CEMETARY,15
PERSON W/GUN,WOODLAWN CEMETARY,1
SUICIDE ATTEMPT,WOODLAWN CEMETARY,2
SUSPICIOUS PERSON,WOODLAWN CEMETARY,7
SUSPICIOUS SITUATION,WOODLAWN CEMETARY,1
SUSPICIOUS VEHICLE,WOODLAWN CEMETARY,13
TRAFFIC PROBLEM,WOODLAWN CEMETARY,1
TRAFFIC STOP,WOODLAWN CEMETARY,7
TRESPASS,WOODLAWN CEMETARY,20
UNKNOWN TROUBLE,WOODLAWN CEMETARY,1
WANTED PERSON,WOODLAWN CEMETARY,6
ACCIDENT,WOODLAWN BREAKROOM,1
ALCOHOL 1000 FT RULE,WOODLAWN BREAKROOM,2
ANIMAL COMPLAINT,WOODLAWN BREAKROOM,1
ASSAULT/BATTERY,WOODLAWN BREAKROOM,3
ASSAULT/BATTERY W/KN,WOODLAWN BREAKROOM,1
ASSIST AN OFFICER,WOODLAWN BREAKROOM,2
BAR/PERIMETER CHECK,WOODLAWN BREAKROOM,2
BURGLARY,WOODLAWN BREAKROOM,3
DETAIL,WOODLAWN BREAKROOM,2
DISTURBING THE PEACE,WOODLAWN BREAKROOM,1
DRUNK,WOODLAWN BREAKROOM,1
DRUNK DRIVER,WOODLAWN BREAKROOM,1
FIGHT,WOODLAWN BREAKROOM,2
FIRE,WOODLAWN BREAKROOM,2
INDECENT EXPOSURE,WOODLAWN BREAKROOM,9
INVESTIGATION/FOLLOW,WOODLAWN BREAKROOM,3
KEEP THE PEACE,WOODLAWN BREAKROOM,3
LODGING W/O CONSENT,WOODLAWN BREAKROOM,4
MAL DEST PROPERTY,WOODLAWN BREAKROOM,4
MENTALLY ILL PERSON,WOODLAWN BREAKROOM,3
MISSING/FOUND PROPER,WOODLAWN BREAKROOM,2
NARCOTICS,WOODLAWN BREAKROOM,10
NON-CRIMINAL DETAIL,WOODLAWN BREAKROOM,4
OTHER DISTURBANCE,WOODLAWN BREAKROOM,100
PARK RULES VIOL CLOS,WOODLAWN BREAKROOM,1
PARK RULES VIOL OTHE,WOODLAWN BREAKROOM,1
PERSON ON FOOT,WOODLAWN BREAKROOM,56
RECOVERED STOLEN VEH,WOODLAWN BREAKROOM,1
SICK OR INJURED PERS,WOODLAWN BREAKROOM,5
STOLEN VEHICLE,WOODLAWN BREAKROOM,1
SUICIDE THREAT,WOODLAWN BREAKROOM,1
SUSPICIOUS PERSON,WOODLAWN BREAKROOM,17
SUSPICIOUS SITUATION,WOODLAWN BREAKROOM,5
SUSPICIOUS VEHICLE,WOODLAWN BREAKROOM,31
TRAFFIC PROBLEM,WOODLAWN BREAKROOM,6
TRAFFIC STOP,WOODLAWN BREAKROOM,15
TRANSPORT,WOODLAWN BREAKROOM,1
TRESPASS,WOODLAWN BREAKROOM,12
UNKNOWN TROUBLE,WOODLAWN BREAKROOM,9
URINATING/DEFECATING,WOODLAWN BREAKROOM,1
WANTED PERSON,WOODLAWN BREAKROOM,2
ASSAULT/BATTERY,WOODLAWN,1
FIGHT,WOODLAWN,1
INDECENT EXPOSURE,WOODLAWN,1
OTHER DISTURBANCE,WOODLAWN,3
PERSON ON FOOT,WOODLAWN,1
SICK OR INJURED PERS,WOODLAWN,1
SUSPICIOUS SITUATION,WOODLAWN,1
MISSING PERSON,WLV LIBRARY,1
"911 DISC",WLV ART CTR,1
ACCIDENT HIT/RUN,WLV ART CTR,1
ASSAULT/BATTERY,WLV ART CTR,1
ASSIST A CITIZEN,WLV ART CTR,4
ASSIST AN OFFICER,WLV ART CTR,2
BURGLARY,WLV ART CTR,2
BURGLARY ALARM,WLV ART CTR,30
DETAIL,WLV ART CTR,8
DRUNK,WLV ART CTR,2
FAMILY DISTURBANCE,WLV ART CTR,1
FIGHT,WLV ART CTR,1
FIRE,WLV ART CTR,1
INDECENT EXPOSURE,WLV ART CTR,1
INVESTIGATION/FOLLOW,WLV ART CTR,2
JUVENILE DISTURBANCE,WLV ART CTR,7
LODGING W/O CONSENT,WLV ART CTR,2
MAL DEST PROPERTY,WLV ART CTR,1
NARCOTICS,WLV ART CTR,3
NON-CRIMINAL DETAIL,WLV ART CTR,4
OTHER DISTURBANCE,WLV ART CTR,8
PANIC ALARM,WLV ART CTR,2
PARK RULES VIOL ALCO,WLV ART CTR,1
PERSON ON FOOT,WLV ART CTR,1
PETIT LARCENY,WLV ART CTR,1
